number,ump,serve year,birth year,All-star game,Division Series,League Championship Series,World Series,Wild Card Game,Other Leagues,Umpire School/Camp Instructor (Y/N),Umpire School/Camp Student (Y/N),Marital Status (Y/N),Children,B.S (Y/N),M.S (Y/N),Data source,call_ball,bc_ball,bc_ball_ratio,call_strike,bc_strike,bc_strike_ratio,total_call,bad_call,bad_call_ratio,bcr_i1,bcr_i2,bcr_i3,bcr_i4,bcr_i5,bcr_i6,bcr_i7,bcr_i8,bcr_i9,bcr_OT,bcr_z1,bcr_z2,bcr_z3,bcr_z4,bcr_z5,bcr_z6,bcr_z7,bcr_z8,bcr_z9,bcr_z11,bcr_z12,bcr_z13,bcr_z14,bcr_FF,bcr_SL,bcr_FT,bcr_CU,bcr_FC,bcr_SI,bcr_CH,bcr_FS,bcr_KC,bcr_EP,bcr_,bcr_KN
12,Gerry Davis,35.0,1994,3.0,13.0,10.0,6.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,n/a,1488,108,0.0725806451612903,702,123,0.17521367521367498,2190,231,0.10547945205479499,0.11387900355871901,0.111607142857143,0.129032258064516,0.0714285714285714,0.0977777777777778,0.0947368421052632,0.0922330097087379,0.11877394636015301,0.153005464480874,0.0333333333333333,0.19402985074626897,0.10909090909090899,0.271186440677966,0.0694444444444444,0.0,0.043956043956044,0.18604651162790697,0.229166666666667,0.29545454545454497,0.0759162303664921,0.0579710144927536,0.10597826086956501,0.0817610062893082,0.122559652928416,0.0783783783783784,0.105769230769231,0.101321585903084,0.0980392156862745,0.116666666666667,0.078125,0.0,0.133333333333333,-1.0,0.33333333333333304,0.10526315789473699
53,Greg Gibson,20.0,1968,1.0,9.0,4.0,1.0,2.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,n/a,741,62,0.0836707152496626,343,50,0.14577259475218698,1084,112,0.10332103321033198,0.134328358208955,0.0245901639344262,0.15966386554621803,0.0957446808510638,0.125984251968504,0.0789473684210526,0.12280701754386,0.115384615384615,0.0692307692307692,-1.0,0.407407407407407,0.28571428571428603,0.3529411764705879,0.0,0.0,0.06,0.16,0.12820512820512803,0.30909090909090897,0.0613496932515337,0.0518518518518519,0.116564417177914,0.0522388059701493,0.106435643564356,0.0898876404494382,0.151162790697674,0.116279069767442,0.13114754098360698,0.0649350649350649,0.10377358490566001,0.0,0.032258064516129,-1.0,-1.0,-1.0
21,Hunter Wendelstedt,20.0,1971,1.0,4.0,4.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,n/a,1572,93,0.0591603053435115,750,127,0.16933333333333303,2322,220,0.0947459086993971,0.11940298507462699,0.0779816513761468,0.11278195488721801,0.103846153846154,0.102439024390244,0.09448818897637801,0.0928270042194093,0.10320284697508901,0.0721153846153846,0.0303030303030303,0.24,0.17307692307692302,0.3958333333333329,0.021505376344086002,0.0,0.0348837209302326,0.13186813186813198,0.0526315789473684,0.23364485981308397,0.0838150289017341,0.0807017543859649,0.09366391184573,0.0669934640522876,0.10483870967741901,0.0900383141762452,0.133858267716535,0.0461538461538462,0.12121212121212101,0.11278195488721801,0.0443349753694581,0.0714285714285714,0.0606060606060606,-1.0,0.0,-1.0
92,James Hoye,11.0,1971,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,n/a,1384,100,0.0722543352601156,687,96,0.139737991266376,2071,196,0.0946402704007726,0.0893617021276596,0.11688311688311699,0.108108108108108,0.12977099236641199,0.0896860986547085,0.0714285714285714,0.109704641350211,0.0657894736842105,0.0607734806629834,-1.0,0.3125,0.146341463414634,0.3541666666666671,0.0941176470588235,0.0,0.0843373493975904,0.17171717171717202,0.0813953488372093,0.169811320754717,0.0526315789473684,0.0548523206751055,0.0977011494252874,0.0666666666666667,0.100508905852417,0.0764119601328904,0.0820512820512821,0.11520737327188901,0.11363636363636401,0.103448275862069,0.09316770186335399,0.0357142857142857,0.0217391304347826,-1.0,0.0,-1.0
52,Jansen Visconti,1.0,1988,0.0,0.0,0.0,0.0,0.0,6.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,n/a,1114,41,0.0368043087971275,524,56,0.106870229007634,1638,97,0.0592185592185592,0.0251256281407035,0.0842105263157895,0.0489130434782609,0.0520231213872832,0.0543478260869565,0.065359477124183,0.0611111111111111,0.0632183908045977,0.0884353741496599,0.0476190476190476,0.204081632653061,0.0810810810810811,0.212121212121212,0.0563380281690141,0.0,0.0204081632653061,0.0303030303030303,0.072463768115942,0.11842105263157901,0.0371747211895911,0.0636942675159236,0.0653846153846154,0.0428893905191874,0.0690846286701209,0.0606060606060606,0.0890052356020942,0.0376344086021505,0.0660377358490566,0.0657894736842105,0.0178571428571429,0.0,0.0166666666666667,-1.0,-1.0,-1.0
8,Jeff Kellogg,26.5,1961,2.0,8.0,6.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,n/a,1409,75,0.0532292405961675,633,109,0.17219589257504,2042,184,0.0901077375122429,0.0443548387096774,0.11059907834101401,0.0995260663507109,0.0779816513761468,0.0789473684210526,0.11740890688259101,0.0995670995670996,0.0721153846153846,0.0989010989010989,0.133333333333333,0.3125,0.22,0.27083333333333304,0.0333333333333333,0.0,0.0326086956521739,0.136986301369863,0.130952380952381,0.11494252873563199,0.0535117056856187,0.0988593155893536,0.0900900900900901,0.0675182481751825,0.104060913705584,0.0709876543209877,0.121359223300971,0.0784313725490196,0.10852713178294598,0.076530612244898,0.0751445086705202,0.0,0.0,-1.0,-1.0,-1.0
45,Jeff Nelson,21.0,1966,2.0,8.0,7.0,4.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,n/a,1163,56,0.0481513327601032,557,107,0.19210053859964102,1720,163,0.0947674418604651,0.108108108108108,0.0923076923076923,0.109289617486339,0.09375,0.103626943005181,0.101941747572816,0.07772020725388601,0.0727272727272727,0.0843373493975904,-1.0,0.282608695652174,0.0909090909090909,0.147058823529412,0.0408163265306122,0.0,0.0298507462686567,0.15625,0.16,0.10465116279069801,0.0458333333333333,0.132947976878613,0.0736842105263158,0.10077519379844999,0.0939334637964775,0.100840336134454,0.137755102040816,0.0841584158415842,0.10958904109588999,0.11152416356877301,0.04907975460122701,0.0,0.0294117647058824,-1.0,-1.0,-1.0
35,Jeremie Rehak,1.0,1988,0.0,0.0,0.0,0.0,0.0,6.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,Baseball-Reference,1227,68,0.0554197229013855,595,88,0.147899159663866,1822,156,0.0856201975850713,0.11445783132530099,0.0691244239631336,0.110576923076923,0.0935960591133005,0.0645161290322581,0.0857142857142857,0.0913461538461538,0.065843621399177,0.0853658536585366,0.0952380952380952,0.22950819672131098,0.11363636363636401,0.28571428571428603,0.0294117647058824,0.0,0.0142857142857143,0.158730158730159,0.12195121951219501,0.125,0.0547445255474453,0.050761421319797,0.10062893081761001,0.0676855895196507,0.0906432748538012,0.0855018587360595,0.11904761904761901,0.0324675324675325,0.0748299319727891,0.111111111111111,0.0878378378378378,0.0476190476190476,0.0588235294117647,-1.0,0.0,-1.0
24,Jerry Layne,30.0,1958,4.0,10.0,5.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,n/a,445,26,0.0584269662921348,224,40,0.178571428571429,669,66,0.0986547085201794,0.0714285714285714,0.0909090909090909,0.10227272727272699,0.0631578947368421,0.132530120481928,0.0684931506849315,0.11940298507462699,0.166666666666667,0.0943396226415094,-1.0,0.375,0.444444444444444,0.23076923076923103,0.08,0.0,0.129032258064516,0.0384615384615385,0.0645161290322581,0.1,0.0337078651685393,0.12987012987013,0.12222222222222198,0.0788177339901478,0.11320754716981098,0.0803571428571429,0.12121212121212101,0.0512820512820513,0.18181818181818202,0.10752688172043,0.0666666666666667,0.0,0.0,-1.0,-1.0,-1.0
41,Jerry Meals,22.0,1961,2.0,7.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,5.0,0.0,0.0,n/a,1496,96,0.0641711229946524,778,133,0.17095115681233897,2274,229,0.100703605980651,0.0947867298578199,0.0894308943089431,0.11832061068702301,0.11372549019607801,0.0969162995594714,0.0900900900900901,0.10526315789473699,0.0823045267489712,0.11063829787233999,0.2,0.37681159420289895,0.130434782608696,0.418181818181818,0.0506329113924051,0.0,0.0119047619047619,0.119565217391304,0.0275229357798165,0.188034188034188,0.05864197530864199,0.0614035087719298,0.10776942355889699,0.0979381443298969,0.12200956937799001,0.0766550522648084,0.0725388601036269,0.0863636363636364,0.0979020979020979,0.12758620689655198,0.0616113744075829,0.0487804878048781,0.11320754716981098,-1.0,-1.0,-1.0
77,Jim Reynolds,19.5,1968,2.0,7.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,n/a,985,58,0.0588832487309645,490,81,0.16530612244898002,1475,139,0.0942372881355932,0.0542168674698795,0.0824175824175824,0.111111111111111,0.136690647482014,0.120805369127517,0.10179640718562899,0.10326086956521699,0.08743169398907101,0.0573770491803279,0.0666666666666667,0.232558139534884,0.14285714285714302,0.23684210526315802,0.0181818181818182,0.0,0.0491803278688525,0.145161290322581,0.136363636363636,0.214285714285714,0.08984375,0.0606060606060606,0.09923664122137402,0.0676923076923077,0.0814558058925477,0.12437810945273599,0.11702127659574499,0.0842105263157895,0.11458333333333301,0.11409395973154401,0.0694444444444444,0.075,0.0886075949367089,-1.0,-1.0,-1.0
21,Jim Wolf,17.0,1969,1.0,4.0,4.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,n/a,1412,67,0.0474504249291785,753,121,0.16069057104913698,2165,188,0.0868360277136259,0.0809716599190283,0.0808823529411765,0.0711111111111111,0.0739130434782609,0.10743801652892598,0.112970711297071,0.0720720720720721,0.0873015873015873,0.103658536585366,0.0909090909090909,0.162162162162162,0.115384615384615,0.18181818181818202,0.010752688172043001,0.0,0.0384615384615385,0.162790697674419,0.021505376344086002,0.24691358024691396,0.0796915167095116,0.0506912442396313,0.115151515151515,0.0773584905660377,0.100401606425703,0.0641399416909621,0.0935672514619883,0.0948275862068965,0.0866141732283465,0.0704225352112676,0.0865384615384615,0.0588235294117647,0.0666666666666667,-1.0,0.166666666666667,-1.0
22,Joe West,41.0,1952,3.0,8.0,10.0,6.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,n/a,1422,88,0.0618846694796062,704,128,0.18181818181818202,2126,216,0.10159924741298199,0.13302752293578002,0.0786026200873362,0.0825242718446602,0.0968992248062016,0.130434782608696,0.10245901639344301,0.102564102564103,0.127049180327869,0.0666666666666667,0.0491803278688525,0.30357142857142894,0.174603174603175,0.34782608695652195,0.0,0.0,0.0227272727272727,0.166666666666667,0.137254901960784,0.17,0.0561056105610561,0.10434782608695699,0.11267605633802802,0.0818815331010453,0.10748299319727901,0.0909090909090909,0.13181818181818197,0.103092783505155,0.0618556701030928,0.0979381443298969,0.1,0.0,0.12244897959183698,-1.0,-1.0,-1.0
