"","name","call_ball","bc_ball","bc_ball_ratio","call_strike","bc_strike","bc_strike_ratio","total_call","bad_call","bad_call_ratio","bcr_i1","bcr_i2","bcr_i3","bcr_i4","bcr_i5","bcr_i6","bcr_i7","bcr_i8","bcr_i9","bcr_OT","bcr_z1","bcr_z2","bcr_z3","bcr_z4","bcr_z5","bcr_z6","bcr_z7","bcr_z8","bcr_z9","bcr_z11","bcr_z12","bcr_z13","bcr_z14","bcr_FF","bcr_SL","bcr_FT","bcr_CU","bcr_FC","bcr_SI","bcr_CH","bcr_FS","bcr_KC","bcr_EP","bcr_","bcr_KN"
"33","Paul Nauert",1139,79,0.0693590869183494,574,113,0.196864111498258,1713,192,0.112084063047285,0.101449275362319,0.0898203592814371,0.132075471698113,0.112359550561798,0.118918918918919,0.12280701754386,0.12037037037037,0.08,0.103448275862069,0.153846153846154,0.240740740740741,0.243243243243243,0.375,0,0,0.0704225352112676,0.111111111111111,0.0933333333333333,0.256410256410256,0.102990033222591,0.0533333333333333,0.155172413793103,0.0671296296296296,0.138508371385084,0.0679611650485437,0.120481927710843,0.0845070422535211,0.148760330578512,0.137254901960784,0.0797101449275362,0.0882352941176471,0.0454545454545455,NA,NA,NA
"34","Doug Eddings",1135,55,0.0484581497797357,597,97,0.162479061976549,1732,152,0.0877598152424942,0.0728744939271255,0.0837988826815642,0.106060606060606,0.0512820512820513,0.0845771144278607,0.0824742268041237,0.115183246073298,0.119047619047619,0.0641025641025641,NA,0.225,0.09375,0.117647058823529,0.0192307692307692,0,0.0344827586206897,0.107692307692308,0.027027027027027,0.227722772277228,0.0839416058394161,0.122727272727273,0.0763888888888889,0.0632911392405063,0.0907738095238095,0.1,0.08,0.0778443113772455,0.166666666666667,0.0689655172413793,0.05625,0,0.130434782608696,NA,0,NA
"35","Chris Guccione",1383,82,0.059291395516992,676,103,0.152366863905325,2059,185,0.0898494414764449,0.0882352941176471,0.0972222222222222,0.0728155339805825,0.113725490196078,0.111111111111111,0.091703056768559,0.0786026200873362,0.115740740740741,0.0463576158940397,0,0.404255319148936,0.216216216216216,0.26530612244898,0.0298507462686567,0,0.051948051948052,0.142857142857143,0.102040816326531,0.125,0.0364372469635627,0.12156862745098,0.069164265129683,0.0702702702702703,0.0968622100954979,0.0731707317073171,0.120481927710843,0.0838323353293413,0.126126126126126,0.101010101010101,0.0526315789473684,0.1,0.0571428571428571,NA,NA,NA
"36","Jim Wolf",1412,67,0.0474504249291785,753,121,0.160690571049137,2165,188,0.0868360277136259,0.0809716599190283,0.0808823529411765,0.0711111111111111,0.0739130434782609,0.107438016528926,0.112970711297071,0.0720720720720721,0.0873015873015873,0.103658536585366,0.0909090909090909,0.162162162162162,0.115384615384615,0.181818181818182,0.010752688172043,0,0.0384615384615385,0.162790697674419,0.021505376344086,0.246913580246914,0.0796915167095116,0.0506912442396313,0.115151515151515,0.0773584905660377,0.100401606425703,0.0641399416909621,0.0935672514619883,0.0948275862068965,0.0866141732283465,0.0704225352112676,0.0865384615384615,0.0588235294117647,0.0666666666666667,NA,0.166666666666667,NA
"37","CB Bucknor",1315,70,0.0532319391634981,691,133,0.192474674384949,2006,203,0.101196410767697,0.0912863070539419,0.110552763819095,0.0904255319148936,0.0882352941176471,0.109375,0.126315789473684,0.0944206008583691,0.0968992248062016,0.107142857142857,0,0.222222222222222,0.174603174603175,0.157894736842105,0.0821917808219178,0,0.0487804878048781,0.158730158730159,0.0666666666666667,0.154639175257732,0.0764331210191083,0.15234375,0.0974025974025974,0.08,0.107904642409034,0.105442176870748,0.0638297872340425,0.1003861003861,0.0973451327433628,0.120253164556962,0.0913461538461538,0.111111111111111,0.0416666666666667,NA,0,NA
"38","Lance Barrett",1294,48,0.0370942812982998,628,128,0.203821656050955,1922,176,0.0915712799167534,0.128571428571429,0.0912863070539419,0.0883534136546185,0.130434782608696,0.0931372549019608,0.0488888888888889,0.0743801652892562,0.0561797752808989,0.120481927710843,NA,0.224137931034483,0.0810810810810811,0.173913043478261,0.0727272727272727,0,0.0375,0.123076923076923,0.038961038961039,0.0779220779220779,0.0471976401179941,0.0923076923076923,0.144736842105263,0.0932835820895522,0.106995884773663,0.0524691358024691,0.0809248554913295,0.0663265306122449,0.0846153846153846,0.173076923076923,0.0855614973262032,0.114285714285714,0.113636363636364,NA,NA,NA
"39","Pat Hoberg",1159,52,0.0448662640207075,591,71,0.120135363790186,1750,123,0.0702857142857143,0.0864197530864197,0.0887573964497041,0.0842696629213483,0.0568720379146919,0.0670391061452514,0.0662650602409639,0.0537634408602151,0.0786026200873362,0.0467836257309941,0.0555555555555556,0.25531914893617,0.137254901960784,0.148936170212766,0.0298507462686567,0,0.0158730158730159,0.0898876404494382,0.102564102564103,0.0933333333333333,0.040590405904059,0.0969387755102041,0.0427631578947368,0.0687960687960688,0.0755555555555556,0.0608108108108108,0.0446428571428571,0.0628571428571429,0.0879120879120879,0.10752688172043,0.0484848484848485,0,0.08,0,0,NA
"40","David Rackley",1234,72,0.0583468395461912,608,113,0.185855263157895,1842,185,0.10043431053203,0.0990566037735849,0.11731843575419,0.107806691449814,0.0845070422535211,0.087719298245614,0.100877192982456,0.125,0.104166666666667,0.0730337078651685,NA,0.296296296296296,0.119047619047619,0.34,0.0289855072463768,0,0.0461538461538462,0.0704225352112676,0.0958904109589041,0.209876543209877,0.0924657534246575,0.0705394190871369,0.107266435986159,0.0838852097130243,0.114401076716016,0.0839160839160839,0.128571428571429,0.121951219512195,0.096551724137931,0.0886075949367089,0.0448717948717949,0.0476190476190476,0.0689655172413793,NA,NA,NA
"41","Nic Lentz",1483,72,0.0485502360080917,700,97,0.138571428571429,2183,169,0.0774163994502978,0.0851851851851852,0.0599250936329588,0.0864197530864197,0.0877862595419847,0.0694444444444444,0.0627306273062731,0.0950226244343891,0.0653846153846154,0.092485549132948,NA,0.25,0.0847457627118644,0.22,0,0,0.0481927710843374,0.137254901960784,0.0808080808080808,0.152941176470588,0.046070460704607,0.069204152249135,0.081151832460733,0.061965811965812,0.090689238210399,0.0599455040871935,0.0677966101694915,0.0815217391304348,0.031496062992126,0.116959064327485,0.0694444444444444,0.0285714285714286,0.05,NA,NA,NA
"42","James Hoye",1384,100,0.0722543352601156,687,96,0.139737991266376,2071,196,0.0946402704007726,0.0893617021276596,0.116883116883117,0.108108108108108,0.129770992366412,0.0896860986547085,0.0714285714285714,0.109704641350211,0.0657894736842105,0.0607734806629834,NA,0.3125,0.146341463414634,0.354166666666667,0.0941176470588235,0,0.0843373493975904,0.171717171717172,0.0813953488372093,0.169811320754717,0.0526315789473684,0.0548523206751055,0.0977011494252874,0.0666666666666667,0.100508905852417,0.0764119601328904,0.0820512820512821,0.115207373271889,0.113636363636364,0.103448275862069,0.093167701863354,0.0357142857142857,0.0217391304347826,NA,0,NA
